PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM
ÓXIDO CÚPRICO;SELENATO DE SÓDIO;ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;RIBOFLAVINA;ÓXIDO DE ZINCO;ÁCIDO ASCÓRBICO,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500500101118422
ÓXIDO DE MAGNÉSIO;SIMETICONA;HIDRÓXIDO DE ALUMÍNIO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508011804138416
ÓXIDO DE MAGNÉSIO;SULFATO DE MANGANÊS;ACETATO DE RETINOL;PANTOTENATO DE CÁLCIO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;CIANOCOBALAMINA;TIAMINA;FUMARATO FERROSO;ÓXIDO DE ZINCO;BIOTINA;COLECALCIFEROL,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520730201119416
ÓXIDO DE ZINCO,30.222.814/0001-31,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,533507401164427
ÓXIDO DE ZINCO;ÁCIDO ASCÓRBICO,02.456.955/0001-83,NATULAB LABORATÓRIO S.A,540420050013307
ÓXIDO DE ZINCO;RETINOL;COLECALCIFEROL,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528526201160419
PACLITAXEL,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523703502159416
PALBOCICLIBE,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522720050087317
PALIPERIDONA,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514506903119310
PALIVIZUMABE,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502321080034717
PALMITATO DE PALIPERIDONA,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514508403156418
PALMITATO DE RETINOL,33.781.055/0001-35,FUNDAÇÃO OSWALDO CRUZ,541918110007007
PALMITATO DE RETINOL;ACETATO DE TOCOFEROL;CLORIDRATO DE PIRIDOXINA,33.069.212/0001-84,MERCK S/A,525403802110414
PALMITATO DE RETINOL;COLECALCIFEROL,61.068.755/0001-12,SANVAL COMÉRCIO E INDÚSTRIA LTDA,530807502131411
PALMITATO DE RETINOL;ÓXIDO DE ZINCO;CALCITRIOL,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520712202168420
PALMITATO DE RETINOL;OXIDO DE ZINCO;COLECALCIFEROL,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538820070081417
PALMITATO DE RETINOL;ÓXIDO DE ZINCO;COLECALCIFEROL,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520712203164410
PALONOSETRONA,15.127.898/0001-30,MUNDIPHARMA BRASIL PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA,556718050001902
PAMIDRONATO DISSÓDICO,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523707502153313
PAMOATO DE PASIREOTIDA,53.056.057/0001-79,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME,576921020000617
PANAX GINSENG C. A. MEY.,68.032.192/0001-51,BIONATUS LABORATÓRIO BOTÂNICO LTDA,557821060001707
PANAX GINSENG C.;FUMARATO FERROSO;NICOTINAMIDA;OXIDO DE ZINCO;GLICONATO DE MAG;ACETATO DE RACEA;PALMITATO DE RET;LECITINA DE SOJA;SULFATO DE MANGA;SULFATO CÚPRICO ;CLORIDRATO DE PI;PANTOTENATO DE C;COLECALCIFEROL;RUTOSÍDEO;GLICONATO DE POT;FOSFATO DE CÁLCI;NITRATO DE TIAMI;RIBOFLAVINA;CIANOCOBALAMINA;ÓXIDO DE ZINCO;ÁCIDO ASCÓRBICO;ÁCIDO FÓLICO,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524819120007907
PANCREATINA,56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA,500214010030914
PANITUMUMABE,18.774.815/0001-93,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,544115070000417
PANTOPRAZOL,57.507.378/0003-65,EMS S/A,507719802112112
PANTOPRAZOL MAGNÉSICO DI-HIDRATADO,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501619120022007
PANTOPRAZOL MAGNÉSICO DI-HIDRATADO;PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552917060071106
PANTOPRAZOL SÓDICO,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526114010090706
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508010605158117
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;NIMESULIDA,57.507.378/0003-65,EMS S/A,541818110094005
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;PANTOPRAZOL,05.035.244/0001-23,SUN FARMACÊUTICA DO BRASIL LTDA,532417030017806
PANTOTENATO DE C;PANAX GINSENG C.;COLECALCIFEROL;FUMARATO FERROSO;NICOTINAMIDA;OXIDO DE ZINCO;RUTOSÍDEO;GLICONATO DE MAG;GLICONATO DE POT;FOSFATO DE CÁLCI;ACETATO DE RACEA;NITRATO DE TIAMI;PALMITATO DE RET;LECITINA DE SOJA;RIBOFLAVINA;CIANOCOBALAMINA;SULFATO DE MANGA;ÓXIDO DE ZINCO;SULFATO CÚPRICO ;CLORIDRATO DE PI;ÁCIDO ASCÓRBICO;ÁCIDO FÓLICO,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524819120008007
PAPAVER SOMNIFERUM L.,84.684.620/0001-87,LABORATORIO CATARINENSE LTDA,516120020003307
PARACETAMOL,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504902901138421
PARACETAMOL;ÁCIDO ASCÓRBICO;CLORIDRATO DE FENILEFRINA;MALEATO DE DIMETINDENO;RUTOSÍDEO,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510618030059417
PARACETAMOL;CAFEÍNA,57.507.378/0003-65,EMS S/A,541820060131207
PARACETAMOL;CAFEÍNA ANIDRA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510610204131314
PARACETAMOL;CAFEÍNA ANIDRA;ÁCIDO ACETILSALICÍLICO,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540918080036303
PARACETAMOL;CAFEÍNA ANIDRA;CITRATO DE ORFENADRINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552920010102107
PARACETAMOL;CAFEÍNA ANIDRA;PROPIFENAZONA,18.459.628/0001-15,BAYER S.A.,538912060016513
PARACETAMOL;CAFEÍNA;ÁCIDO ACETILSALICÍLICO,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540921050047307
PARACETAMOL;CAFEÍNA;DICLOFENACO DE SÓDIO;CARISOPRODOL,33.173.097/0002-74,CELLERA FARMACÊUTICA S.A.,541720080021907
PARACETAMOL;CLORIDRATO DE FENILEFRINA,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505103902115320
PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA,57.507.378/0003-65,EMS S/A,507737901119113
PARACETAMOL;FOSFATO DE CODEÍNA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508016100113503
PARACETAMOL;FOSFATO DE CODEÍNA HEMI-HIDRATADO,05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,504621040080506
PARACETAMOL;MALEATO DE CARBINOXAMINA,05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,504613040016214
PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505103802110327
PARECOXIBE SÓDICO,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522720060087917
PARICALCITOL,64.171.697/0001-46,ACCORD FARMACÊUTICA LTDA,538020060029907
PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 16;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 18;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 6;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 11,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525503601151314
PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 58;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 16;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 18;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 6;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 31;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 52;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 33;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 11;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 45,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525518080020701
PASSIFLORA INCARNATA,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524820010008507
PASSIFLORA INCARNATA L.,30.222.814/0001-31,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,533520110033207
PATISIRANA SÓDICA,31.731.807/0001-28,SPECIALTY PHARMA GOIAS LTDA,587920070000107
PEGASPARGASE,42.374.207/0001-76,LABORATÓRIOS SERVIER DO BRASIL LTDA,531319120009217
PEGFILGRASTIM,18.774.815/0001-93,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,544117060004007
PEGVISOMANTO,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522720050085917
PELARGONIUM SIDOIDES DC.,33.349.473/0001-58,FARMOQUÍMICA S/A,509020010022507
PEMBROLIZUMABE,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525517020019902
PEMETREXEDE DISSÓDICO,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523712110026304
PEMETREXEDE DISSÓDICO HEMIPENTAIDRATADO,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506719060079004
PEMETREXEDE DISSÓDICO HEPTAIDRATADO,61.282.661/0001-41,LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,519519060028804
PENCICLOVIR,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531625601167415
PENICILAMINA,27.011.022/0001-03,BL INDÚSTRIA OTICA LTDA,503120120001817
PENICILINA G BENZATINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520717100108903
PENTOXIFILINA,57.507.378/0003-65,EMS S/A,507720101114112
PERAMPANEL,68.949.239/0001-46,UNITED MEDICAL LTDA,533220060003317
PERICIAZINA,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720030060317
PERINDOPRIL,42.374.207/0001-76,LABORATÓRIOS SERVIER DO BRASIL LTDA,531300302111316
PERINDOPRIL ARGININA;BESILATO DE ANLODIPINO,42.374.207/0001-76,LABORATÓRIOS SERVIER DO BRASIL LTDA,531317040008105
PERINDOPRIL ARGININA;INDAPAMIDA,42.374.207/0001-76,LABORATÓRIOS SERVIER DO BRASIL LTDA,531320040009307
PERINDOPRIL ARGININA;INDAPAMIDA;BESILATO DE ANLODIPINO,42.374.207/0001-76,LABORATÓRIOS SERVIER DO BRASIL LTDA,531320100011507
PERINDOPRIL ERBUMINA,73.663.650/0001-90,RANBAXY FARMACÊUTICA LTDA,529915604116111
PERINDOPRIL;INDAPAMIDA,42.374.207/0001-76,LABORATÓRIOS SERVIER DO BRASIL LTDA,531301901114310
PERMETRINA,92.928.951/0001-43,LABORATORIO INDUSTRIAL FARMACÊUTICO LIFAR LTDA,518200401178411
PERÓXIDO DE BENZOÍLA,44.211.936/0001-37,AVERT LABORATÓRIOS LTDA,534300102166415
PERÓXIDO DE BENZOÍLA;CLINDAMICINA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510620020054317
PERÓXIDO DE BENZOÍLA;ENXOFRE,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504118070064017
PEROXIDO DE BENZOILA;PERÓXIDO DE BENZOÍLA;CLINDAMICINA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510620020054217
PERÓXIDO DE URÉIA,33.173.097/0002-74,CELLERA FARMACÊUTICA S.A.,514000101135410
PERSEA AMERICANA MILL.;GLYCINE MAX (L.) MERR.,56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA,500220100046407
PERTACTINA;POLIOVÍRUS INATIVADOS TIPO 3;POLIOVÍRUS INATIVADOS TIPO 2;CONJUGADO DE POLISSACARÍDEO CAPSULAR DE HAEMOPHILUS INFLUENZAE TIPO B E TOXÓIDE TETÂNICO;POLIOVÍRUS INATIVADOS TIPO 1,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510604201159310
PERTACTINA;TOXÓIDE DIFTÉRICO;FÍMBRIAS;HEMAGLUTININA FILAMENTOSA;TOXÓIDE PERTUSSIS;TOXÓIDE TETÂNICO,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720060072517
PERTACTINA;TOXÓIDE DIFTÉRICO;HEMAGLUTININA FILAMENTOSA;AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3;TOXÓIDE TETÂNICO;TOXÓIDE PERTUSSIS,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720060074617
PERTACTINA;TOXÓIDE DIFTÉRICO;HEMAGLUTININA FILAMENTOSA;TOXÓIDE TETÂNICO;TOXÓIDE PERTUSSIS,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510606301150311
PERTACTINA;TOXÓIDE DIFTÉRICO;POLIOVÍRUS INATIVADOS TIPO 3;POLIOVÍRUS INATIVADOS TIPO 2;HEMAGLUTININA FILAMENTOSA;AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3;POLIOVÍRUS INATIVADOS TIPO 1;TOXÓIDE TETÂNICO;TOXÓIDE PERTUSSIS,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720040062417
PERTACTINA;TOXÓIDE DIFTÉRICO;POLIOVÍRUS INATIVADOS TIPO 3;POLIOVÍRUS INATIVADOS TIPO 2;HEMAGLUTININA FILAMENTOSA;AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3;POLISSACARÍDEO DE HAEMOPHILUS INFLUENZAE TIPO B;POLIOVÍRUS INATIVADOS TIPO 1;TOXÓIDE PERTUSSIS;TOXÓIDE TETÂNICO,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720060072217
PERTUZUMABE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529213110025202
PEUMUS BOLDUS,92.762.277/0001-70,VIDORA FARMACÊUTICA LTDA,521820030001407
PIBRENTASVIR;GLECAPREVIR HIDRATADO,15.800.545/0001-50,ABBVIE FARMACÊUTICA LTDA.,543718050003302
PICOSSULFATO DE SÓDIO,60.862.208/0001-41,FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA,535123101111414
PICOSSULFATO DE SÓDIO MONOIDRATADO,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720080085517
PIDOLATO DE PIRIDOXINA,61.150.447/0001-31,LABORATÓRIOS BALDACCI LTDA,521002801110318
PIMECROLIMO,11.643.096/0001-22,MYLAN LABORATORIOS LTDA,541518090008017
PIMOZIDA,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514502802113314
PINDOLOL,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526516301115417
PINUS PINASTER AITON,33.349.473/0001-58,FARMOQUÍMICA S/A,509019120022107
PIPER METHYSTICUM,78.950.011/0001-20,HERBARIUM LABORATORIO BOTANICO LTDA,511419120005907
PIPERACILINA SÓDICA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501312090018206
PIPERACILINA SÓDICA;TAZOBACTAM,94.869.054/0001-31,LABORATÓRIOS LIBRA DO BRASIL LTDA,522015070004803
PIPERACILINA;TAZOBACTAM,33.036.815/0001-80,QUIMICA HALLER LTDA,529620010000607
PIRACETAM,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552919060078917
PIRACETAM;CINARIZINA,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540915110016917
PIRAZINAMIDA,43.640.754/0001-19,FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP,510004501119413
PIRFENIDONA,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529216090026702
PIRIDOXINA;ACETATO DE DEXAMETASONA;CIANOCOBALAMINA;TIAMINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520708401151414
PIRIMETAMINA,33.349.473/0001-58,FARMOQUÍMICA S/A,509013120012403
PIROXICAM,57.507.378/0003-65,EMS S/A,507720201119116
PIROXICAM BETACICLODEXTRINA,61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA,508501004111410
PITAVASTATINA CÁLCICA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523719120040307
PLANTAGO OVATA FORSSK.,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524820110011607
PLANTAGO OVATA FORSSK.;SENNA ALEXANDRINA MILL.,11.643.096/0001-22,MYLAN LABORATORIOS LTDA,541519120017117
PLANTAGO OVATA PHIL.,57.507.378/0003-65,EMS S/A,541819120113807
PLERIXAFOR,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502818120078617
POLATUZUMABE VEDOTINA,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529220070026607
POLIACRILAMIDOMETIL BENZILIDENO CÂNFORA;MENTOL CRISTAL;SALICILATO DE METILA,05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,504616020034817
POLICARBOFILA,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,525072201115419
POLICARBOFILA  CÁLCICA,02.433.631/0001-20,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,505621060045817
POLICRESULENO,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501100403174414
POLICRESULENO A 36%,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501100402119411
POLICRESULENO;CLORIDRATO DE CINCHOCAÍNA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501117100028803
POLIESTIRENOSSULFONATO DE CÁLCIO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508028301134415
POLIOVÍRUS INATIVADOS TIPO 1;TOXÓIDE PERTUSSIS;PERTACTINA;TOXÓIDE DIFTÉRICO;POLIOVÍRUS INATIVADOS TIPO 3;POLIOVÍRUS INATIVADOS TIPO 2;CONJUGADO DE POLISSACARÍDEO CAPSULAR DE HAEMOPHILUS INFLUENZAE TIPO B E TOXÓIDE TETÂNICO;HEMAGLUTININA FILAMENTOSA;TOXÓIDE TETÂNICO;ANTÍGENO DE SUPERFÍCIE DA HEPATITE B,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510604101154317
POLIOVÍRUS INATIVADOS TIPO 1;TOXÓIDE PERTUSSIS;PERTACTINA;TOXÓIDE DIFTÉRICO;POLIOVÍRUS INATIVADOS TIPO 3;POLIOVÍRUS INATIVADOS TIPO 2;HEMAGLUTININA FILAMENTOSA;TOXÓIDE TETÂNICO,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510612901156412
POLIOVÍRUS TIPO 3;POLIOVÍRUS TIPO 1,33.781.055/0001-35,FUNDAÇÃO OSWALDO CRUZ,541919070007707
POLIOVÍRUS TIPO 3;POLIOVÍRUS TIPO 2;POLIOVÍRUS TIPO 1,33.781.055/0001-35,FUNDAÇÃO OSWALDO CRUZ,541917020006607
POLIOVÍRUS TIPO 3;POLIOVÍRUS TIPO 2;POLISSACARÍDEO DE HAEMOPHILUS INFLUENZAE TIPO B;TOXÓIDE PERTUSSIS;POLIOVÍRUS TIPO 1 (MAHONEY);TOXÓIDE DIFTÉRICO;HEMAGLUTININA FILAMENTOSA;TOXÓIDE TETÂNICO;ANTÍGENO DE SUPERFÍCIE DA HEPATITE B,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720050069717
POLIPEPTÍDEO DIALIZÁVEL DE EXTRATO DE LEUCÓCITO,28.614.626/0001-07,LABORATÓRIO DE EXTRATOS ALERGÊNICOS LTDA,516501301133412
POLISSACARÍDEO,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720070079017
POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 7F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 18C;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9N;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 10A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 12F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 22F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9V;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 20;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 17F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 15B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 8;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 11A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 3;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 23F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 2;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 33F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 14,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525502901151419
POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9V;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 7F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 18C;PROTEÍNA CARREADORA;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 3;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 23F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 14,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522720060088117
POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 14;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 18C;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 4;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 19F;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 5;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 9V;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 1;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 23F;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 7F;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 6B,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510611401151316
